epoch,train_conf_loss,train_dice,train_peak_dist,train_peak_sharp,val_conf_loss,val_dice,val_peak_dist,val_peak_sharp,train_top0.1,train_top1,train_top10,val_top0.1,val_top1,val_top10
0,0.031928,0.009449,0.545341,0.505933,0.0,0.0,0.0,0.0,0.000831,0.018272,0.16196,0.0,0.0,0.0
1,0.002903,0.010848,0.679012,0.505393,0.0,0.0,0.0,0.0,0.013289,0.095515,0.541528,0.0,0.0,0.0
2,0.002234,0.012575,0.720284,0.507231,0.0,0.0,0.0,0.0,0.022425,0.16113,0.703488,0.0,0.0,0.0
3,0.001934,0.015085,0.744961,0.509908,0.0,0.0,0.0,0.0,0.049003,0.257475,0.759967,0.0,0.0,0.0
4,0.001747,0.017912,0.77158,0.512899,0.0,0.0,0.0,0.0,0.110465,0.372924,0.862957,0.0,0.0,0.0
5,0.001606,0.021945,0.787061,0.517491,0.0,0.0,0.0,0.0,0.148671,0.472591,0.917774,0.0,0.0,0.0
6,0.001561,0.024627,0.801071,0.520162,0.0,0.0,0.0,0.0,0.208472,0.546512,0.943522,0.0,0.0,0.0
7,0.001306,0.032116,0.829842,0.527815,0.0,0.0,0.0,0.0,0.318106,0.702658,0.976744,0.0,0.0,0.0
8,0.001165,0.038689,0.843191,0.536881,0.0,0.0,0.0,0.0,0.420266,0.77907,0.981728,0.0,0.0,0.0
9,0.001065,0.043757,0.855867,0.542704,0.0,0.0,0.0,0.0,0.497508,0.836379,0.98588,0.0,0.0,0.0
10,0.000987,0.052717,0.863769,0.553145,0.0,0.0,0.0,0.0,0.533223,0.864618,0.990864,0.0,0.0,0.0
11,0.000849,0.060778,0.869501,0.560155,0.0,0.0,0.0,0.0,0.584718,0.895349,0.993355,0.0,0.0,0.0
12,0.000735,0.076422,0.879331,0.577451,0.0,0.0,0.0,0.0,0.627076,0.927741,0.98588,0.0,0.0,0.0
13,0.000645,0.092958,0.885616,0.596794,0.0,0.0,0.0,0.0,0.659468,0.943522,0.993355,0.0,0.0,0.0
14,0.00052,0.110998,0.890797,0.614975,0.0,0.0,0.0,0.0,0.738372,0.960963,0.990864,0.0,0.0,0.0
15,0.0004,0.126258,0.899638,0.62982,0.0,0.0,0.0,0.0,0.790698,0.974252,0.995847,0.0,0.0,0.0
16,0.000407,0.136837,0.898519,0.6457,0.0,0.0,0.0,0.0,0.782392,0.978405,0.992525,0.0,0.0,0.0
17,0.000332,0.150227,0.903553,0.659019,0.0,0.0,0.0,0.0,0.803156,0.977575,0.997508,0.0,0.0,0.0
18,0.000285,0.161732,0.901085,0.674444,0.0,0.0,0.0,0.0,0.83804,0.983389,0.995847,0.0,0.0,0.0
19,0.000251,0.170717,0.907206,0.684194,0.0,0.0,0.0,0.0,0.843854,0.988372,0.996678,0.0,0.0,0.0
20,0.000247,0.178194,0.904694,0.695097,0.0,0.0,0.0,0.0,0.85299,0.988372,0.997508,0.0,0.0,0.0
21,0.00018,0.189343,0.908608,0.705246,0.0,0.0,0.0,0.0,0.901993,0.993355,0.999169,0.0,0.0,0.0
22,0.000145,0.197562,0.90887,0.713739,0.0,0.0,0.0,0.0,0.912791,0.994186,0.998339,0.0,0.0,0.0
23,0.00015,0.200388,0.907438,0.719486,0.0,0.0,0.0,0.0,0.909468,0.994186,0.999169,0.0,0.0,0.0
24,0.000129,0.208362,0.904172,0.72886,0.0,0.0,0.0,0.0,0.931063,0.994186,0.999169,0.0,0.0,0.0
25,0.00013,0.211975,0.911592,0.731014,0.0,0.0,0.0,0.0,0.931063,0.994186,0.996678,0.0,0.0,0.0
26,0.000106,0.218098,0.917321,0.739368,0.0,0.0,0.0,0.0,0.939369,0.994186,1.0,0.0,0.0,0.0
27,0.000103,0.220915,0.912263,0.743589,0.0,0.0,0.0,0.0,0.936877,0.996678,1.0,0.0,0.0,0.0
28,8.3e-05,0.227862,0.919245,0.751229,0.0,0.0,0.0,0.0,0.948505,0.995847,1.0,0.0,0.0,0.0
29,6e-05,0.233988,0.912384,0.756978,0.0,0.0,0.0,0.0,0.95515,0.998339,1.0,0.0,0.0,0.0
30,5.8e-05,0.236274,0.909606,0.760581,0.0,0.0,0.0,0.0,0.958472,0.997508,1.0,0.0,0.0,0.0
31,5.3e-05,0.238171,0.910987,0.763167,0.0,0.0,0.0,0.0,0.958472,0.998339,1.0,0.0,0.0,0.0
32,4.7e-05,0.241162,0.905504,0.766515,0.0,0.0,0.0,0.0,0.969269,0.999169,1.0,0.0,0.0,0.0
33,4.1e-05,0.243697,0.909846,0.770872,0.0,0.0,0.0,0.0,0.967608,0.999169,1.0,0.0,0.0,0.0
34,3.5e-05,0.248261,0.914044,0.774898,0.0,0.0,0.0,0.0,0.971761,1.0,1.0,0.0,0.0,0.0
35,3.6e-05,0.249073,0.913011,0.776663,0.0,0.0,0.0,0.0,0.974252,0.999169,1.0,0.0,0.0,0.0
36,3.3e-05,0.251557,0.909798,0.780285,0.0,0.0,0.0,0.0,0.975083,0.999169,1.0,0.0,0.0,0.0
37,3e-05,0.253702,0.912721,0.781088,0.0,0.0,0.0,0.0,0.983389,0.999169,1.0,0.0,0.0,0.0
38,2.9e-05,0.255642,0.910941,0.78399,0.0,0.0,0.0,0.0,0.981728,0.999169,1.0,0.0,0.0,0.0
39,2.5e-05,0.256774,0.912995,0.784986,0.0,0.0,0.0,0.0,0.984219,1.0,1.0,0.0,0.0,0.0
40,2.4e-05,0.258579,0.91462,0.787776,0.0,0.0,0.0,0.0,0.984219,1.0,1.0,0.0,0.0,0.0
41,2.3e-05,0.259626,0.914635,0.78844,0.0,0.0,0.0,0.0,0.987542,0.999169,1.0,0.0,0.0,0.0
42,1.8e-05,0.261743,0.913619,0.789365,0.0,0.0,0.0,0.0,0.989203,1.0,1.0,0.0,0.0,0.0
43,1.6e-05,0.26353,0.91047,0.791366,0.0,0.0,0.0,0.0,0.991694,1.0,1.0,0.0,0.0,0.0
44,1.5e-05,0.264906,0.911456,0.793075,0.0,0.0,0.0,0.0,0.989203,1.0,1.0,0.0,0.0,0.0
45,1.3e-05,0.266387,0.910186,0.795224,0.0,0.0,0.0,0.0,0.990033,1.0,1.0,0.0,0.0,0.0
