epoch,train_conf_loss,val_conf_loss
0,0.56331,0.0
1,0.126816,0.0
2,0.079223,0.0
3,0.069358,0.0
4,0.055597,0.0
5,0.060683,0.0
6,0.05455,0.0
7,0.067143,0.0
8,0.061758,0.0
9,0.064398,0.0
10,0.060273,0.0
11,0.051845,0.0
12,0.064702,0.0
13,0.063789,0.0
14,0.057379,0.0
15,0.055871,0.0
0,0.170151,0.0
1,0.01955,0.0
2,0.010101,0.0
3,0.004854,0.0
4,0.004856,0.0
5,0.004115,0.0
6,0.004847,0.0
7,0.005339,0.0
8,0.005487,0.0
9,0.005294,0.0
10,0.004964,0.0
11,0.004935,0.0
12,0.004021,0.0
13,0.005684,0.0
14,0.005477,0.0
15,0.005227,0.0
0,0.213477,0.0
1,0.064552,0.0
0,0.240162,0.0
1,0.109136,0.0
2,0.033325,0.0
3,0.027761,0.0
4,0.025397,0.0
5,0.023277,0.0
6,0.02324,0.0
7,0.023285,0.0
0,0.10989,0.0
1,0.014203,0.0
2,0.009877,0.0
3,0.008726,0.0
4,0.008185,0.0
5,0.007842,0.0
6,0.008127,0.0
7,0.008246,0.0
0,0.172497,0.0
1,0.065515,0.0
2,0.063279,0.0
3,0.074716,0.0
4,0.085415,0.0
5,0.087266,0.0
6,0.090292,0.0
7,0.090331,0.0
0,0.438738,0.0
1,0.094237,0.0
2,0.071746,0.0
3,0.065111,0.0
4,0.062229,0.0
5,0.066987,0.0
6,0.061281,0.0
7,0.068211,0.0
8,0.063915,0.0
9,0.063598,0.0
